,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57,item58,item59,item60,item61,item62,item63,item64,item65,item66,item67,item68,item69,item70,item71,item72,item73,item74,item75
0,Keanekaragaman Hayati Biologi Kelas X SMAN 24 Jakarta,Sekolah Cikal - Kelas 6 - Matematika,Coba Program - Pengguna Jalan [Prasekolah/ 2-6 tahun],Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,"Orientasi PAUD, RA, SD, MI, PaketA Tahun Pelajaran Baru",Sampahku Tanggung Jawabku (PAUD),Menjadi Talenta Siap Bisnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fotografi untuk Pemula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Keanekaragaman Hayati Biologi Kelas X SMAN 24 Jakarta,Sekolah Cikal - Kelas 6 - Matematika,Coba Program - Pengguna Jalan [Prasekolah/ 2-6 tahun],Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,"Orientasi PAUD, RA, SD, MI, PaketA Tahun Pelajaran Baru",Sampahku Tanggung Jawabku (PAUD),Menjadi Talenta Siap Bisnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Orientasi PAUD, RA, SD, MI, PaketA Tahun Pelajaran Baru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Konsumsi Ramah Lingkungan – WWF,Kita Lawan Corona : Pelajari Kembali Fakta Virus Corona,ENGLISH KELAS 8 - SMPN 199,Menjadi Fasilitator Belajar Guru Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Prinsip CINTA,Bahasa Indonesia Kelas 7 SMP - Dinas Pendidikan Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Geografi Kelas 12,"Aksiku, Sampahku Tanggungjawabku (PAUD)",Pembelajaran Jarak Jauh Menyenangkan Bermakna Angk. 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PAUD A (4-5 Tahun) SMM TA 2021/2022: Triwulan 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kelas 2 SD – Dinas Pendidikan DKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PJOK Kelas XI SMA-Dinas Pendidikan Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"MPLS SMP, SMA, Paket B & C Tahun Pelajaran 2020/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
